Year,Age,Credit,Sex,MaritalStatus,Miles,YearsOwned,CarAge,Value,BodilyInjury,Drivers,Claims
2017,25,F,F,Single,3000,5,10,4843,4912,4,2
2017,21,A,F,Married,10000,1,10,6228,6185,2,2
2017,30,E,M,Single,21000,5,8,10000,759,1,1
2017,67,A,F,Single,5000,2,19,588,7728,1,2
2017,53,B,M,Single,6000,1,2,13000,4050,1,2
2017,49,C,M,Single,8000,1,1,44982,2103,4,1
2017,51,C,F,Married,13000,3,4,13148,2479,2,1
2017,55,D,F,Married,3000,2,13,23529,8742,2,2
2017,45,E,M,Single,11000,8,8,2075,2789,3,1
2017,38,E,F,Married,16000,1,3,20761,10625,2,2
2017,66,G,F,Married,10000,0,3,26296,3243,1,1
2017,38,A,M,Married,16000,7,9,6470,22623,4,2
2017,64,E,F,Single,9000,8,8,17647,14402,1,2
2017,55,B,M,Married,9000,2,12,8996,3160,2,1
2017,59,C,M,Married,8000,0,4,58823,20653,2,2
2017,47,B,M,Married,10000,1,8,42500,36029,2,2
2017,43,A,M,Single,13000,0,5,500,18704,1,2
2017,50,B,F,Single,10000,8,9,50000,1518,2,1
2017,48,D,M,Single,15000,2,8,26296,11367,2,2
2017,61,B,F,Married,14000,4,10,6500,2292,2,1
2017,30,E,F,Single,15000,1,4,15294,16126,1,2
2017,46,F,M,Married,9000,3,5,19000,2190,2,1
2017,18,A,M,Single,10000,1,1,17992,2812,1,1
2017,55,C,M,Single,12000,1,2,17992,15723,1,2
2017,26,F,F,Married,9000,1,1,10380,7817,3,2
2017,57,H,F,Married,10000,1,7,2500,536,3,1
2017,41,G,F,Widowed,12000,5,5,3460,1352,1,1
2017,52,B,M,Single,8000,0,3,11000,0,1,0
2017,56,G,M,Single,9000,4,16,11764,2273,1,1
2017,51,F,M,Single,8000,10,20,32500,2597,1,1
2017,49,E,M,Married,21000,0,3,51902,20711,2,2
2017,75,D,M,Single,10000,8,18,13148,734,1,1
2017,37,E,M,Married,12000,3,4,31141,2412,3,1
2017,45,A,F,Married,8000,0,0,20000,1842,2,1
2017,46,G,M,Married,15000,1,1,15224,523,2,1
2017,28,G,M,Married,9000,1,7,23529,707,3,1
2017,34,C,F,Single,10000,3,10,26296,9842,1,2
2017,36,D,F,Married,9000,0,8,7500,2943,2,1
2017,38,C,F,Married,14000,5,9,4843,1737,2,1
2017,43,C,F,Single,7000,1,4,17647,1472,1,1
2017,42,D,M,Married,14000,8,11,19000,44340,2,2
2017,59,D,M,Single,16000,0,2,5294,12258,4,2
2017,55,H,F,Married,12000,1,2,20761,5743,2,2
2017,45,B,M,Married,10000,1,2,26296,941,1,1
2017,19,E,F,Single,10000,2,8,8823,67457,1,2
2017,50,A,M,Widowed,10000,3,4,20000,1091,1,1
2017,24,F,F,Single,6000,1,3,13148,0,1,0
2017,34,A,M,Single,12000,6,6,32500,4653,1,2
2017,49,C,M,Single,11000,2,10,7611,4372,1,2
2017,60,A,F,Single,11000,0,0,12941,2308,1,1
2017,46,H,F,Married,13000,2,5,19000,0,2,0
2017,44,F,F,Married,10000,0,4,17000,4433,2,2
2017,28,E,F,Married,5000,4,6,3460,5466,2,2
2017,63,G,M,Single,5000,7,10,8996,5163,4,2
2017,28,G,F,Married,7000,1,2,11000,1331,2,1
2017,60,F,M,Single,7000,1,3,23529,17278,3,2
2017,65,D,M,Single,11000,6,9,7611,4891,1,2
2017,63,F,M,Single,4000,0,7,8996,4038,4,2
2017,45,B,M,Married,21000,2,6,13148,12523,2,2
2017,62,D,F,Single,12000,0,1,38235,1465,1,1
2017,51,E,M,Single,15000,2,5,26296,22790,1,2
2017,63,E,M,Single,10000,4,7,23529,3329,2,1
2017,52,D,M,Single,12000,0,0,58823,7008,4,2
2017,61,B,F,Married,9000,9,9,17000,7951,1,2
2017,68,H,M,Single,14000,4,5,15224,4216,4,2
2017,49,E,M,Divorced,11000,3,5,3460,4988,3,2
2017,56,D,M,Married,16000,2,2,4500,1708,2,1
2017,71,G,M,Married,2000,1,1,20761,5441,2,2
2017,31,A,M,Married,4000,9,13,6470,3104,1,1
2017,62,G,F,Married,5000,7,19,588,14737,2,2
2017,61,D,M,Single,8000,10,14,5500,14598,1,2
2017,34,D,F,Married,19000,7,15,9500,1522,2,1
2017,55,A,M,Married,20000,2,8,6228,2068,2,1
2017,54,H,F,Married,6000,4,5,10000,0,1,0
2017,50,F,M,Single,6000,3,9,17992,15015,1,2
2017,47,D,F,Single,13000,0,1,17000,1728,1,1
2017,47,A,M,Single,7000,2,2,6470,2952,1,1
2017,28,D,F,Married,15000,4,9,7611,5507,2,2
2017,54,F,M,Married,1000,10,14,6500,5657,2,2
2017,30,D,M,Married,13000,2,4,22352,8627,2,2
2017,39,C,M,Single,15000,5,13,7611,44682,1,2
2017,59,F,F,Married,10000,3,3,38061,8632,2,2
2017,40,F,M,Divorced,10000,2,6,47500,26282,2,2
2017,53,B,M,Single,11000,4,10,6228,5930,1,2
2017,58,D,F,Married,8000,1,5,6500,8082,3,2
2017,30,B,F,Single,10000,0,8,4500,2344,2,1
2017,39,A,F,Single,13000,1,9,7611,14827,1,2
2017,34,G,F,Divorced,11000,0,0,111764,3409,1,1
2017,44,A,M,Married,17000,4,5,11000,46743,3,2
2017,22,H,F,Divorced,15000,1,5,8996,5615,1,2
2017,59,D,F,Married,6000,5,8,2075,11863,2,2
2017,48,F,M,Single,7000,1,6,10380,4987,1,2
2017,32,F,F,Married,14000,5,6,13148,3651,2,2
2017,52,A,F,Married,4000,2,18,6228,2824,2,1
2017,61,C,M,Married,14000,1,7,31141,16089,2,2
2017,30,C,M,Single,13000,8,8,27500,12279,1,2
2017,33,E,F,Single,13000,2,5,15000,678,1,1
2017,21,A,F,Single,10000,3,6,20761,3430,1,1
2017,46,B,M,Single,9000,1,1,17647,590,1,1
2017,27,F,F,Single,6000,0,10,2075,11958,4,2
2017,43,C,F,Single,11000,8,12,11000,13864,3,2
2017,66,D,M,Single,12000,8,13,6228,48512,1,2
2017,20,H,M,Married,10000,2,4,26296,18650,2,2
2017,35,D,M,Single,17000,2,2,20761,5015,1,2
2017,42,D,F,Married,11000,5,7,11000,2108,2,1
2017,76,B,M,Married,8000,0,10,8823,38296,2,2
2017,64,A,M,Single,9000,0,0,26470,8992,1,2
2017,36,A,M,Single,7000,0,0,26470,7793,1,2
2017,44,B,F,Married,8000,0,2,17647,2061,2,1
2017,25,C,F,Single,11000,6,11,2075,18758,1,2
2017,29,E,M,Single,8000,3,7,8823,504,1,1
2017,56,C,M,Single,12000,1,2,10000,8233,1,2
2017,29,B,F,Married,9000,2,9,4117,15894,2,2
2017,44,B,F,Married,11000,7,11,1764,6751,2,2
2017,68,E,F,Married,10000,0,3,11000,6504,2,2
2017,32,C,F,Single,4000,0,9,691,753,1,1
2017,61,D,M,Married,1000,3,6,10380,9191,1,2
2017,24,F,F,Married,14000,8,18,6228,6862,1,2
2017,18,E,F,Widowed,13000,6,8,8823,72247,1,2
2017,58,B,F,Divorced,15000,0,13,588,1842,3,1
2017,71,D,M,Married,9000,1,2,8500,27651,2,2
2017,55,F,M,Single,8000,8,10,10380,8673,1,2
2017,29,H,F,Single,13000,2,3,2075,6256,4,2
2017,38,D,M,Single,14000,0,3,17647,1473,1,1
2017,42,B,F,Divorced,11000,0,3,103805,16639,1,2
2017,60,G,M,Divorced,14000,1,14,15224,13932,1,2
2017,55,H,F,Divorced,10000,4,6,31141,12197,4,2
2017,38,E,F,Married,10000,0,1,64705,0,2,0
2017,34,F,M,Single,6000,5,5,13000,4481,2,2
2017,41,D,M,Married,10000,1,4,42500,1616,2,1
2017,29,A,F,Single,5000,6,7,23529,5568,1,2
2017,56,C,F,Married,13000,2,2,55000,5835,3,2
2017,28,D,M,Single,7000,4,6,1500,17102,1,2
2017,63,G,F,Single,6000,0,0,65000,2197,1,1
2017,43,E,F,Married,5000,5,15,38061,13484,3,2
2017,78,C,M,Married,15000,0,3,13000,3221,2,1
2017,53,C,F,Widowed,8000,1,1,31141,1251,1,1
2017,64,C,M,Single,5000,3,5,20761,21799,1,2
2017,74,F,F,Single,10000,0,1,19000,2739,1,1
2017,47,A,M,Single,6000,4,5,7647,7489,1,2
2017,63,E,M,Single,2000,2,4,10380,18991,1,2
2017,69,F,M,Married,7000,2,4,47500,575,2,1
2017,21,D,M,Single,5000,3,9,6470,97218,2,2
2017,41,B,F,Married,12000,1,3,20000,681,2,1
2017,46,B,M,Married,13000,3,3,20000,1041,2,1
2017,38,C,F,Divorced,13000,0,0,17992,18611,1,2
2017,23,H,F,Single,8000,5,6,55882,731,1,1
2017,54,D,M,Widowed,11000,0,4,9500,7182,3,2
2017,43,H,M,Married,14000,0,0,22500,8406,2,2
2017,65,G,F,Single,5000,3,4,8500,11325,4,2
2017,60,E,F,Married,5000,0,0,13000,20933,2,2
2017,46,D,F,Married,2000,10,14,15000,24719,2,2
2017,45,D,M,Married,13000,1,2,11000,1018,2,1
2017,31,H,M,Single,8000,6,7,3500,1231,2,1
2017,52,D,M,Single,12000,7,9,3460,4501,1,2
2017,28,C,F,Married,3000,4,8,6470,10304,2,2
2017,38,E,F,Married,10000,0,3,19000,3692,2,2
2017,43,G,M,Single,8000,0,7,1500,24517,1,2
2017,31,D,M,Single,12000,3,4,22500,2255,1,1
2017,34,C,M,Married,9000,1,3,22352,6470,2,2
2017,44,D,M,Single,7000,0,4,19000,50215,1,2
2017,27,B,F,Single,9000,8,8,8996,919,1,1
2017,31,G,M,Single,15000,2,5,8500,1039,1,1
2017,38,E,M,Married,10000,0,2,11000,18237,2,2
2017,59,C,F,Single,7000,0,10,6228,2399,1,1
2017,65,E,M,Married,21000,0,5,17000,61431,4,2
2017,37,B,M,Single,10000,8,8,20000,13686,1,2
2017,57,C,M,Married,15000,0,3,38061,7579,1,2
2017,34,C,M,Single,6000,2,7,11000,2996,1,1
2017,63,H,M,Single,8000,5,6,17647,6349,1,2
2017,58,A,M,Single,15000,5,5,15000,13392,2,2
2017,47,A,M,Married,10000,1,1,26296,0,2,0
2017,30,F,M,Married,14000,4,4,50000,2292,3,1
2017,44,C,F,Married,14000,1,2,11000,16994,2,2
2017,38,E,F,Married,8000,0,5,11000,662,2,1
2017,31,E,M,Married,10000,1,6,44117,11690,1,2
2017,45,D,M,Divorced,16000,1,1,12941,3957,2,2
2017,41,A,M,Married,15000,5,6,15294,3732,2,2
2017,58,F,M,Widowed,12000,1,14,10000,88141,2,2
2017,78,C,M,Married,15000,0,8,15224,2299,2,1
2017,63,C,M,Married,10000,4,5,20761,1433,2,1
2017,66,D,M,Single,2000,7,7,13148,5003,2,2
2017,34,H,F,Single,7000,7,9,11176,13715,1,2
2017,55,B,F,Single,11000,0,0,8823,5529,1,2
2017,36,F,M,Married,16000,4,4,19000,2659,2,1
2017,52,C,F,Married,14000,1,5,27500,9989,2,2
2017,32,D,F,Single,10000,8,8,31141,13664,1,2
2017,62,B,M,Single,7000,1,3,89964,2577,1,1
2017,69,A,M,Married,5000,1,10,13000,29645,2,2
2017,38,F,M,Married,10000,1,4,20761,2334,2,1
2017,52,G,F,Single,14000,2,8,10380,999,1,1
2017,50,G,M,Single,15000,2,8,4843,5375,2,2
2017,33,H,M,Married,13000,1,3,47500,16879,2,2
2017,60,G,F,Single,9000,1,1,11000,22227,1,2
2017,47,F,M,Single,11000,8,12,13148,1047,1,1
2017,54,F,M,Married,14000,3,4,12941,61761,2,2
2017,51,A,F,Divorced,1000,2,6,20761,15097,1,2
2017,32,F,M,Single,11000,8,9,4843,5102,1,2
2017,58,D,M,Married,8000,5,13,3460,7191,2,2
2017,49,E,M,Single,14000,0,4,8996,2862,2,1
2017,48,A,M,Married,11000,1,2,5500,4067,2,2
2017,76,E,F,Single,3000,2,9,4843,25549,2,2
2017,39,C,F,Single,12000,3,3,26296,4795,1,2
2017,50,H,F,Single,10000,1,2,3460,9271,1,2
2017,57,D,M,Married,11000,2,7,691,8651,2,2
2017,40,G,M,Single,10000,0,5,17992,29425,1,2
2017,56,E,M,Single,21000,0,3,22352,3540,1,2
2017,33,A,F,Single,14000,0,8,20000,10814,3,2
2017,58,C,M,Single,14000,2,5,7500,795,1,1
2017,50,G,M,Married,15000,1,2,15224,12971,2,2
2017,66,D,M,Married,10000,2,4,10380,7423,2,2
2017,35,C,M,Married,13000,2,10,15294,890,2,1
2017,78,B,M,Single,3000,2,4,23529,8134,1,2
2017,47,D,M,Married,14000,0,0,20000,8246,1,2
2017,49,H,M,Single,3000,2,12,9500,4494,1,2
2017,58,C,M,Married,17000,0,0,11000,4908,2,2
2017,18,F,M,Married,5000,7,8,10380,26825,2,2
2017,38,E,F,Married,13000,4,7,10000,4663,2,2
2017,57,D,F,Single,5000,1,5,3460,567,1,1
2017,62,B,M,Married,6000,2,5,32500,8985,2,2
2017,25,B,M,Divorced,10000,1,3,691,31739,3,2
2017,57,B,M,Single,14000,1,1,42500,11091,1,2
2017,33,A,F,Married,6000,0,2,7500,1324,2,1
2017,52,F,M,Widowed,7000,5,5,32500,16951,2,2
2017,36,G,F,Single,14000,10,20,8500,2083,1,1
2017,58,H,M,Married,21000,1,1,19000,10000,2,2
2017,36,C,F,Single,11000,1,1,103805,1580,1,1
2017,36,C,M,Married,11000,1,11,691,13472,2,2
2017,63,G,F,Single,18000,4,7,4843,5129,2,2
2017,44,D,M,Widowed,11000,0,0,22500,10050,1,2
2017,40,G,F,Single,5000,5,6,3460,47812,2,2
2017,38,A,F,Widowed,10000,7,14,15294,2280,1,1
2017,64,C,M,Married,6000,6,9,10380,2942,2,1
2017,41,E,F,Single,15000,2,7,17647,2214,1,1
2017,59,H,M,Single,14000,5,6,15294,739,1,1
2017,58,E,F,Single,11000,1,12,1764,1721,2,1
2017,69,A,F,Married,8000,2,2,37500,1723,4,1
2017,71,H,F,Married,3000,1,6,6228,22273,1,2
2017,39,E,M,Single,11000,0,1,15294,2984,1,1
2017,42,F,F,Married,14000,2,2,26296,680,2,1
2017,50,C,M,Married,14000,0,5,15224,7641,2,2
2017,53,E,F,Married,7000,1,5,13000,3617,2,2
2017,29,A,F,Single,10000,3,17,11764,12320,1,2
